Survey name,Operator,Dates,Data type,Datum,North lat,South lat,East long,West long,SEGY size,Navigation size,SEGY zip,Navigation zip,URL
2014-645-FA_c,Pacific Coastal and Marine Science Center,2017,Singlechannel Seismic,World Geodetic System 1984 (WGS84),0,0,0,0,(20.5 MB),(3.6 KB),https://walrus.wr.usgs.gov/namss/data/2014/namss.2014-645-FA.scs.chirp.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/04/20/102230311158/2014-645-FA_chirp_nav.zip,https://walrus.wr.usgs.gov/namss/survey/2014-645-fa_c
2014-645-FA_s,Pacific Coastal and Marine Science Center,2017,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),0,0,0,0,(1.3 GB),(119.7 KB),https://walrus.wr.usgs.gov/namss/data/2014/namss.2014-645-FA.mcs.sparker.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/04/20/101839536081/2014-645-FA_mcs.zip,https://walrus.wr.usgs.gov/namss/survey/2014-645-fa_s
A-1-02-SC_scms,Pacific Coastal and Marine Science Center,2002,Singlechannel Seismic,World Geodetic System 1984 (WGS84),34.45071,34.38543,-120.24921,-120.42199,(702.5 MB),(2.5 MB),https://walrus.wr.usgs.gov/namss/data/2002/namss.A-1-02-SC.scs.sparker.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/02/07/151159585274/a-1-02-sc.410_scms,https://walrus.wr.usgs.gov/namss/survey/a-1-02-sc_scms
B-00-79-LA,Bureau of Ocean Energy Management,1979,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.00779,27.9453,-92.0966,-92.18261,(7.5 MB),(13.1 KB),https://walrus.wr.usgs.gov/namss/data/1979/namss.B-00-79-LA.mcs.vaporchoc.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-00-79-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-00-79-la
B-00-95-LA,Bureau of Ocean Energy Management,1995,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.32871,28.19741,-90.11074,-90.29505,(248.5 MB),(1.4 KB),https://walrus.wr.usgs.gov/namss/data/1995/namss.B-00-95-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2021/03/16/114121798695/B-00-95-LA.zip,https://walrus.wr.usgs.gov/namss/survey/b-00-95-la
B-01-75-AT,Bureau of Ocean Energy Management,1975,2D Multichannel Seismic,North American Datum 1983 (NAD83),40.5882,37.85201,-70.39941,-74.59488,(2.4 GB),(564.6 KB),https://walrus.wr.usgs.gov/namss/data/1975/namss.B-01-75-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-75-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-75-at
B-01-77-LA,Bureau of Ocean Energy Management,1977,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.95265,28.57102,-89.17095,-89.37113,(15.4 MB),(11.3 KB),https://walrus.wr.usgs.gov/namss/data/1977/namss.B-01-77-LA.mcs.stagaray.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-77-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-77-la
B-01-78-AT,Bureau of Ocean Energy Management,1978,2D Multichannel Seismic,North American Datum 1983 (NAD83),39.8712,39.59591,-72.03049,-72.47954,(16.9 MB),(9.2 KB),https://walrus.wr.usgs.gov/namss/data/1978/namss.B-01-78-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/09/18/b-01-78-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-78-at
B-01-80-AT,Bureau of Ocean Energy Management,1980,2D Multichannel Seismic,North American Datum 1983 (NAD83),36.35034,30.44691,-74.22113,-80.29978,(2.4 GB),(542.7 KB),https://walrus.wr.usgs.gov/namss/data/1980/namss.B-01-80-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-80-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-80-at
B-01-81-AT,Bureau of Ocean Energy Management,1981,2D Multichannel Seismic,North American Datum 1983 (NAD83),41.01726,30.18925,-66.81061,-79.63947,(4.4 GB),(970.9 KB),https://walrus.wr.usgs.gov/namss/data/1981/namss.B-01-81-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-81-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-81-at
B-01-82-AT,Bureau of Ocean Energy Management,1982,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),27.73637,23.0575,-79.05779,-81.83333,(2.0 GB),(297.7 KB),https://walrus.wr.usgs.gov/namss/data/1982/namss.B-01-82-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-82-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-82-at
B-01-82-LA,Bureau of Ocean Energy Management,1982,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.14681,25.7299,-86.52861,-96.00288,(137.8 MB),(357.1 KB),https://walrus.wr.usgs.gov/namss/data/1982/namss.B-01-82-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-82-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-82-la
